year,avgTemp,minTemp,maxTemp,corona,result
20191110,10,6,15,0,480
20191112,9,5,15,0,303
20191113,7,3,11,0,60
20191114,1,-3,5,0,213
20191115,6,1,8,0,93
20191116,7,4,13,0,450
20191117,8,6,11,0,200
20191119,0,-4,4,0,234
20191120,1,-5,6,0,190
20191121,4,-2,9,0,223
20191122,10,3,17,0,231
20191123,12,8,18,0,370
20191124,10,5,16,0,240
20191126,7,1,14,0,348
20191127,3,0,7,0,402
20191128,4,-1,10,0,214
20191129,2,-3,7,0,222
20191130,4,-1,9,0,297
20191201,5,2,6,0,124
20191203,1,-5,4,0,312
20191204,2,-2,7,0,248
20191205,-4,-9,0,0,152
20191206,-6,-11,-1,0,141
20191207,-2,-6,1,0,201
20191208,-1,-6,5,0,226
20191210,8,6,11,0,152
20191211,6,0,10,0,164
20191212,-1,-4,3,0,192
20191213,2,-4,6,0,173
20191214,3,0,6,0,267
20191215,5,0,11,0,301
20191217,8,3,10,0,45
20191218,1,-2,5,0,207
20191219,-1,-5,3,0,199
20191220,-1,-4,2,0,218
20191221,-1,-5,2,0,209
20191222,4,0,8,0,247
20191224,1,-3,7,0,224
20191225,2,-3,7,0,402
20191226,2,-2,4,0,163
20191227,-2,-5,3,0,206
20191228,1,-4,6,0,236
20191229,4,1,6,0,252
20191231,-8,-11,-5,0,137
20200101,-2,-7,0,0,248
20200102,1,-1,4,0,242
20200103,0,-3,5,0,200
20200104,1,-3,6,0,248
20200105,1,-3,7,0,287
20200107,6,4,8,0,53
20200108,2,0,9,0,132
20200109,-1,-3,2,0,195
20200110,-1,-4,4,0,184
20200111,0,-3,4,0,228
20200112,-1,-4,3,0,322
20200114,-2,-6,3,0,209
20200115,-3,-6,2,0,186
20200116,-2,-6,3,0,218
20200117,-1,-5,5,0,172
20200118,0,-4,6,0,238
20200119,2,0,5,0,208
20200121,0,-6,6,0,213
20200122,3,0,8,0,218
20200123,5,0,10,0,190
20200124,3,-1,7,0,445
20200125,4,1,9,0,654
20200126,6,0,12,0,659
20200127,6,5,8,0,510
20200128,7,4,10,0,205
20200129,6,3,10,0,363
20200130,5,1,10,0,268
20200131,4,1,9,0,235
20200201,3,-1,8,0,290
20200202,2,-2,5,0,266
20200204,-2,-6,4,0,249
20200205,-8,-11,-5,0,96
20200206,-6,-12,0,0,95
20200207,-2,-7,2,0,156
20200208,0,-2,4,0,294
20200209,-1,-6,4,0,372
20200211,7,-1,15,0,289
20200212,7,7,8,0,40
20200213,7,5,9,0,273
20200214,8,3,15,0,249
20200215,10,6,16,0,355
20200216,-1,-4,8,0,128
20200218,-4,-8,1,0,214
20200219,1,-4,6,0,227
20200220,5,-1,11,0,266
20200221,7,2,11,0,181
20200222,4,0,8,0,125
20200223,3,-3,8,0,489
20200225,7,5,9,0,67
20200226,6,3,10,0,230
20200227,6,1,13,0,478
20200228,5,4,6,0,79
20200229,8,5,13,0,665
20200301,6,3,10,0,396
20200303,5,0,11,0,377
20200304,2,-1,5,0,229
20200305,1,-3,6,0,407
20200306,4,-3,10,0,413
20200307,7,1,14,0,596
20200308,9,2,17,0,753
20200310,6,3,11,0,120
20200311,4,0,8,0,80
20200312,7,0,13,0,445
20200313,5,0,9,0,390
20200314,4,-3,9,0,561
20200315,4,0,9,0,569
20200317,7,3,12,0,356
20200318,10,3,17,0,490
20200319,9,6,12,0,127
20200320,9,3,14,0,479
20200321,13,8,20,0,734
20200322,11,6,17,0,968
20200324,11,5,18,0,617
20200325,13,6,19,0,962
20200326,15,8,21,0,391
20200327,12,7,16,0,548
20200328,8,5,13,0,698
20200329,9,1,16,0,100
20200331,12,5,19,0,150
20200401,11,6,17,0,100
20200402,9,3,16,0,621
20200403,10,5,16,0,250
20200404,9,5,13,0,200
20200405,7,2,14,0,100
20200407,11,6,17,0,472
20200408,9,5,14,0,449
20200409,9,4,15,0,630
20200410,11,6,17,0,453
20200411,10,6,16,0,595
20200412,10,4,16,0,569
20200414,13,8,20,0,521
20200415,13,7,20,0,698
20200416,16,9,24,0,482
20200417,13,10,15,0,113
20200418,14,9,20,0,870
20200419,12,10,16,0,343
20200421,7,5,10,0,290
20200422,6,4,8,0,205
20200423,8,3,13,0,417
20200424,10,4,14,0,380
20200425,13,10,17,0,440
20200426,12,7,19,0,644
20200428,14,8,20,0,501
20200429,15,9,21,0,709
20200430,17,9,23,0,676
20200501,20,16,26,0,427
20200502,20,18,24,0,491
20200503,22,17,27,0,515
20200505,16,13,19,0,543
20200506,19,11,28,0,337
20200507,21,15,27,0,364
20200508,20,14,27,0,297
20200509,14,13,17,0,68
20200510,14,13,17,0,433
20200512,14,11,19,0,100
20200513,16,10,22,0,337
20200514,19,12,25,0,385
20200515,16,14,20,0,40
20200516,17,15,20,0,402
20200517,19,15,25,0,607
20200519,13,10,17,0,260
20200520,14,9,20,0,408
20200521,17,11,23,0,457
20200522,19,15,23,0,311
20200523,20,17,25,0,474
20200524,17,14,20,0,495
20200526,16,13,23,0,350
20200527,17,12,24,0,625
20200528,19,14,23,0,100
20200529,21,15,28,0,353
